fullname	ipni	authorship	taxonKey	taxonRank	rank
Rhipsalis himantoclada Rol.-Goss.	308117-2	Rol.-Goss.	3946571	species	Q16
Rhipsalis lindbergiana K.Schum.	219316-2	K.Schum.	3946327	species	Q16
Rhipsalis riocampanensis Madsen & Z.Aguirre	77063335-1	Madsen & Z.Aguirre	3945385	species	Q16
Rhipsalis rosea Lagerh.	309621-2	Lagerh.	3945343	species	Q16
Rhipsalis spinescens Lombardi	304813-2	Lombardi	3945091	species	Q16
Rhipsalis trigona Pfeiff.	310297-2	Pfeiff.	3944848	species	Q16
Rhizanthella johnstonii K.W.Dixon & Christenh.	77176525-1	K.W.Dixon & Christenh.	10772901	species	Q16
Rhodamnia angustifolia N.Snow & Guymer	1012051-1	N.Snow & Guymer	3185953	species	Q16
Rhodamnia asekiensis N.Snow	77123882-1	N.Snow	8747147	species	Q16
Rhodamnia daymanensis N.Snow	77123883-1	N.Snow	8947616	species	Q16
Rhodamnia dumetorum var. hainanensis Merr. & L.M.Perry	77084945-1	Merr. & L.M.Perry	3185966	variety	Q18
Rhodamnia kamialiensis N.Snow & W.N.Takeuchi	77107490-1	N.Snow & W.N.Takeuchi	6306540	species	Q16
Rhodamnia longisepala N.Snow & A.J.Ford	20003156-1	N.Snow & A.J.Ford	3186014	species	Q16
Rhodamnia toratot N.Snow	77123885-1	N.Snow	9038809	species	Q16
Rhodiola bouffordii H.Ohba	77106993-1	H.Ohba	7532839	species	Q16
Rhodocodon apiculatus H.Perrier ex Knirsch, Mart.-Azorín & Wetschnig	77144859-1	H.Perrier ex Knirsch, Mart.-Azorín & Wetschnig	10706442	species	Q16
Rhodocodon cyathiformis H.Perrier ex Knirsch, Mart.-Azorín & Wetschnig	77144864-1	H.Perrier ex Knirsch, Mart.-Azorín & Wetschnig	10716236	species	Q16
Rhodocodon floribundus H.Perrier ex Knirsch, Mart.-Azorín & Wetschnig	77144866-1	H.Perrier ex Knirsch, Mart.-Azorín & Wetschnig	10830879	species	Q16
Rhodocodon graciliscapus Knirsch, Mart.-Azorín & Wetschnig	77144867-1	Knirsch, Mart.-Azorín & Wetschnig	10897887	species	Q16
Rhodocodon intermedius H.Perrier ex Knirsch, Mart.-Azorín & Wetschnig	77144870-1	H.Perrier ex Knirsch, Mart.-Azorín & Wetschnig	10751636	species	Q16
Rhodocodon linearifolius Knirsch, Mart.-Azorín & Wetschnig	77144871-1	Knirsch, Mart.-Azorín & Wetschnig	10684672	species	Q16
Rhodocodon monophyllus Knirsch, Mart.-Azorín & Wetschnig	77144873-1	Knirsch, Mart.-Azorín & Wetschnig	10680951	species	Q16
Rhodocodon rotundus H.Perrier ex Knirsch, Mart.-Azorín & Wetschnig	77144874-1	H.Perrier ex Knirsch, Mart.-Azorín & Wetschnig	10777265	species	Q16
Rhodocolea humbertii Callm. & Phillipson	77117629-1	Callm. & Phillipson	7912626	species	Q16
Rhodocolea lemuriphila Zjhra	77075691-1	Zjhra	4091885	species	Q16
Rhodocolea magnifica Callm. & Phillipson	77117630-1	Callm. & Phillipson	7444016	species	Q16
Rhodocolea parvifoliolata Callm. & Phillipson	77117631-1	Callm. & Phillipson	8109929	species	Q16
Rhodocolea ranirisonii Callm., Phillipson & L.Gaut.	77117632-1	Callm., Phillipson & L.Gaut.	8097068	species	Q16
Rhodocoma vleibergensis H.P.Linder	77109045-1	H.P.Linder	8150302	species	Q16
Rhododendron andrineae Danet	77124829-1	Danet	2883026|7405020	species	Q16
Rhododendron brookeanum var. cladotrichum Sleumer	77073611-1	Sleumer	4167612	variety	Q18
Rhododendron cumberlandense E.L.Braun	219473-2	E.L.Braun	2883034	species	Q16
Rhododendron dutartrei Danet	77080945-1	Danet	4164734|2883026	species	Q16
Rhododendron evelyneae Danet	77071328-1	Danet	4164300	species	Q16
Rhododendron gumineense Craven	77146038-1	Craven	2883026	species	Q16
Rhododendron milleri Argent	77073617-1	Argent	4170230	species	Q16
Rhododendron muscipulum Danet	77124828-1	Danet	7369394	species	Q16
Rhododendron takeuchii Argent	70029629-1	Argent	4164145	species	Q16
Rhododendron tintinnabellum Danet	77071327-1	Danet	4175420	species	Q16
Rhododendron torajaense Craven	77146037-1	Craven	2883026	species	Q16
Rhododendron vaseyi A.Gray	307873-2	A.Gray	2883085	species	Q16
Rhododendron vidalii subsp. brachystemon Argent	70029630-1	Argent	4174468	subspecies	Q17
Rhododendron viriosum Craven	20009289-1	Craven	4171387	species	Q16
Rhododendron xenium Gill.K.Br. & Craven	20011893-1	Gill.K.Br. & Craven	2883026	species	Q16
Rhodognaphalopsis brevipes A.Robyns	219555-2	A.Robyns	4073470	species	Q16
Rhodognaphalopsis gracilis A.Robyns	309942-2	A.Robyns	4073376	species	Q16
Rhodognaphalopsis pseudofaroensis A.Robyns	307407-2	A.Robyns	4073285	species	Q16
Rhodomyrtus guymeriana N.Snow & J.P.Atwood	77094946-1	N.Snow & J.P.Atwood	3716717	species	Q16
Rhodomyrtus kaweaensis N.Snow	77079720-1	N.Snow	3179974	species	Q16
